Parent	Child	Outgroup
ENSG00000174145 ENSG00000188039	ENSGALG00000009378
ENSG00000164032	ENSG00000105968	ENSGALG00000014023
ENSG00000179364	ENSG00000175115	ENSGALG00000010826
ENSG00000151224	ENSG00000168906	ENSGALG00000009681
ENSG00000112619	ENSG00000149489	ENSGALG00000008372
ENSG00000135127	ENSG00000162069	ENSGALG00000002557
ENSG00000163704	ENSG00000224940	ENSGALG00000004829
ENSG00000137161	ENSG00000166997	ENSGALG00000008442
ENSG00000171444	ENSG00000130307	ENSGALG00000017447
ENSG00000173674	ENSG00000198692	ENSGALG00000014361
ENSG00000204120	ENSG00000146830	ENSGALG00000001490
ENSG00000001631	ENSG00000126391	ENSGALG00000009384
ENSG00000099194	ENSG00000145284	ENSGALG00000006137
ENSG00000160539	ENSG00000205808	ENSGALG00000018700
ENSG00000106554	ENSG00000159685	ENSGALG00000001258
ENSG00000138386	ENSG00000166886	ENSGALG00000012584
ENSG00000160654	ENSG00000167286	ENSGALG00000007416
ENSG00000136108	ENSG00000169607	ENSGALG00000006753
ENSG00000067225	ENSG00000143627	ENSGALG00000001992
ENSG00000135823	ENSG00000104915	ENSGALG00000010543
ENSG00000079101	ENSG00000120885	ENSGALG00000012093
ENSG00000196814	ENSG00000141971	ENSGALG00000000950
ENSG00000100078	ENSG00000167525	ENSGALG00000005803
ENSG00000203778	ENSG00000225828	ENSGALG00000012256
ENSG00000151882	ENSG00000213927	ENSGALG00000021416
ENSG00000136930	ENSG00000205220	ENSGALG00000001103
ENSG00000171735	ENSG00000108509	ENSGALG00000004874
ENSG00000140807	ENSG00000145506	ENSGALG00000013225
ENSG00000196141	ENSG00000123352	ENSGALG00000008152
ENSG00000171681	ENSG00000166669	ENSGALG00000011814
ENSG00000158985	ENSG00000197622	ENSGALG00000015177
ENSG00000106615	ENSG00000167550	ENSGALG00000006219
ENSG00000111640	ENSG00000105679	ENSGALG00000014442
ENSG00000165868	ENSG00000132622	ENSGALG00000009248
ENSG00000165443	ENSG00000168490	ENSGALG00000010500
ENSG00000188343	ENSG00000153789	ENSGALG00000015929
ENSG00000116251	ENSG00000163584	ENSGALG00000002527
ENSG00000178222	ENSG00000215277	ENSGALG00000005014
ENSG00000080503	ENSG00000127616	ENSGALG00000010164
ENSG00000164265	ENSG00000161055	ENSGALG00000003512
ENSG00000063761	ENSG00000173137	ENSGALG00000010504
ENSG00000121481	ENSG00000204227	ENSGALG00000004823
ENSG00000141759	ENSG00000140830	ENSGALG00000013729
ENSG00000182400	ENSG00000007255	ENSGALG00000010157
ENSG00000064652	ENSG00000157734	ENSGALG00000018874
ENSG00000165813	ENSG00000068400	ENSGALG00000006384
ENSG00000133874	ENSG00000101236	ENSGALG00000001640
ENSG00000145050	ENSG00000185267	ENSGALG00000002362
ENSG00000169224	ENSG00000174500	ENSGALG00000006904
ENSG00000166595	ENSG00000166797	ENSGALG00000004528
ENSG00000067064	ENSG00000148377	ENSGALG00000006723
ENSG00000114638	ENSG00000105668	ENSGALG00000017291
ENSG00000185088	ENSG00000177954	ENSGALG00000007039
ENSG00000138079	ENSG00000168003	ENSGALG00000009973
ENSG00000070081	ENSG00000104805	ENSGALG00000006147
ENSG00000100079	ENSG00000100097	ENSGALG00000016611
ENSG00000169047	ENSG00000185950	ENSGALG00000004959
ENSG00000066294	ENSG00000026751	ENSGALG00000000341
ENSG00000204262	ENSG00000168542	ENSGALG00000012545
ENSG00000135702	ENSG00000183196	ENSGALG00000005791
ENSG00000171855	ENSG00000184995	ENSGALG00000015062
ENSG00000175564	ENSG00000175567	ENSGALG00000017316
ENSG00000196418	ENSG00000188295	ENSGALG00000006904
ENSG00000114771	ENSG00000197953	ENSGALG00000001619
ENSG00000001561	ENSG00000112796	ENSGALG00000016708
ENSG00000178363	ENSG00000178372	ENSGALG00000017331
ENSG00000243364	ENSG00000169242	ENSGALG00000002527
ENSG00000189339	ENSG00000215790	ENSGALG00000004081
ENSG00000173559	ENSG00000139579	ENSGALG00000007777
ENSG00000169299	ENSG00000165434	ENSGALG00000009489
ENSG00000090565	ENSG00000131242	ENSGALG00000009318
ENSG00000166262	ENSG00000184949	ENSGALG00000006516
ENSG00000175267	ENSG00000168658	ENSGALG00000007119
ENSG00000131373	ENSG00000105135	ENSGALG00000011137
ENSG00000204842	ENSG00000168488	ENSGALG00000004650
ENSG00000168092	ENSG00000079462	ENSGALG00000007314
ENSG00000145996	ENSG00000101391	ENSGALG00000017691
ENSG00000185527	ENSG00000139053	ENSGALG00000001183
ENSG00000121653	ENSG00000008735	ENSGALG00000010117
ENSG00000122482	ENSG00000011451	ENSGALG00000008709
ENSG00000117480	ENSG00000165591	ENSGALG00000004857
ENSG00000205678	ENSG00000099797	ENSGALG00000011680
ENSG00000164659	ENSG00000116299	ENSGALG00000000830
ENSG00000204018	ENSG00000186854	ENSGALG00000010565
ENSG00000132122	ENSG00000106686	ENSGALG00000016099
ENSG00000158623	ENSG00000181789	ENSGALG00000008003
ENSG00000103978	ENSG00000153214	ENSGALG00000009491
ENSG00000178026	ENSG00000181350	ENSGALG00000002742
ENSG00000183530	ENSG00000156858	ENSGALG00000002714
ENSG00000186973	ENSG00000164556	ENSGALG00000010313
ENSG00000118496	ENSG00000163833	ENSGALG00000012973
ENSG00000106993	ENSG00000105401	ENSGALG00000020557
ENSG00000120549	ENSG00000017373	ENSGALG00000016339
ENSG00000163166	ENSG00000130528	ENSGALG00000002342
ENSG00000138134	ENSG00000124356	ENSGALG00000006865
ENSG00000198796	ENSG00000136383	ENSGALG00000002917
ENSG00000153531	ENSG00000144843	ENSGALG00000012934
ENSG00000165175	ENSG00000151365	ENSGALG00000015323
ENSG00000110066	ENSG00000133247	ENSGALG00000007719
ENSG00000155099	ENSG00000165782	ENSGALG00000016074
ENSG00000164167	ENSG00000139343	ENSGALG00000010061
ENSG00000176974	ENSG00000182199	ENSGALG00000005064
ENSG00000138942	ENSG00000204308	ENSGALG00000002671
ENSG00000226288	ENSG00000232268	ENSGALG00000008477
ENSG00000147133	ENSG00000122728	ENSGALG00000011990
ENSG00000123213	ENSG00000172009	ENSGALG00000014747
ENSG00000204442	ENSG00000130054	ENSGALG00000012792
ENSG00000157856	ENSG00000139537	ENSGALG00000008725
ENSG00000184163	ENSG00000178752	ENSGALG00000003782
ENSG00000115828	ENSG00000011478	ENSGALG00000010737
ENSG00000123607	ENSG00000168026	ENSGALG00000009362
ENSG00000018280	ENSG00000110911	ENSGALG00000009001
ENSG00000103260	ENSG00000176845	ENSGALG00000009217
ENSG00000079739	ENSG00000154330	ENSGALG00000011379
ENSG00000165688	ENSG00000140740	ENSGALG00000007121
ENSG00000101138	ENSG00000110107	ENSGALG00000002054
ENSG00000185946	ENSG00000089682	ENSGALG00000010053
ENSG00000197296	ENSG00000139914	ENSGALG00000005460
ENSG00000075035	ENSG00000179314	ENSGALG00000004928
ENSG00000136861	ENSG00000178104	ENSGALG00000004738
ENSG00000154493	ENSG00000116127	ENSGALG00000010493
ENSG00000075790	ENSG00000185825	ENSGALG00000013182
ENSG00000099899	ENSG00000188917	ENSGALG00000002124
ENSG00000049656	ENSG00000104853	ENSGALG00000013200
ENSG00000106537	ENSG00000135452	ENSGALG00000010803
ENSG00000131148	ENSG00000100908	ENSGALG00000003163
ENSG00000144460	ENSG00000166924	ENSGALG00000002639
ENSG00000151576	ENSG00000213339	ENSGALG00000016281
ENSG00000101182	ENSG00000154611	ENSGALG00000005102
ENSG00000145375	ENSG00000171763	ENSGALG00000010659
ENSG00000168438	ENSG00000176473	ENSGALG00000011562
ENSG00000111875	ENSG00000105011	ENSGALG00000012971
ENSG00000151164	ENSG00000172613	ENSGALG00000004571
ENSG00000116273	ENSG00000040633	ENSGALG00000004878
ENSG00000100292	ENSG00000103415	ENSGALG00000016902
ENSG00000111725	ENSG00000131791	ENSGALG00000002557
ENSG00000132478	ENSG00000059145	ENSGALG00000003131
ENSG00000151025	ENSG00000188888	ENSGALG00000016311
ENSG00000165837	ENSG00000163645	ENSGALG00000017056
ENSG00000173013	ENSG00000103021	ENSGALG00000015706
ENSG00000104763	ENSG00000138744	ENSGALG00000009880
ENSG00000113356	ENSG00000121851	ENSGALG00000014911
ENSG00000187097	ENSG00000197586	ENSGALG00000010576
ENSG00000135535	ENSG00000174950	ENSGALG00000011562
ENSG00000054282	ENSG00000151466	ENSGALG00000015849
ENSG00000144445	ENSG00000120071	ENSGALG00000002891
ENSG00000176771	ENSG00000167566	ENSGALG00000012407
ENSG00000102547	ENSG00000135932	ENSGALG00000017065
ENSG00000148358	ENSG00000125734	ENSGALG00000003683
ENSG00000185442	ENSG00000174132	ENSGALG00000007039
ENSG00000149948	ENSG00000137309	ENSGALG00000010152
ENSG00000111530	ENSG00000144712	ENSGALG00000010200
ENSG00000173093	ENSG00000105479	ENSGALG00000004598
ENSG00000175416	ENSG00000122705	ENSGALG00000002863
ENSG00000158528	ENSG00000167100	ENSGALG00000009653
ENSG00000173467	ENSG00000106541	ENSGALG00000010804
ENSG00000054179	ENSG00000188833	ENSGALG00000004165
ENSG00000203859	ENSG00000203857	ENSGALG00000016415
ENSG00000174428	ENSG00000196275	ENSGALG00000005139
ENSG00000183086	ENSG00000198750	ENSGALG00000001166
ENSG00000100031	ENSG00000099998	ENSGALG00000002742
ENSG00000183018	ENSG00000182557	ENSGALG00000004900
ENSG00000148848	ENSG00000151651	ENSGALG00000023378
ENSG00000167461	ENSG00000105649	ENSGALG00000000377
