GeneID	Brain_Female	Brain_Male	Cerebellum_Female	Cerebellum_Male	Heart_Female	Heart_Male	Kidney_Female	Kidney_Male	Liver_Male	Testis_Male
ENSG00000051596	0.5621986	0	3.707819	0.2101672	50.9866	0	24.83128	0	0	0.7904041
ENSG00000172172	0	3.432071	0.2572325	0.4253008	6.042812	0.4738345	0.9576315	1.595426	0	0.657128
ENSG00000100218	2.798213	0	0	0.1130956	0	0.3977582	0	0	163.4392	0.5867199
ENSG00000186479	0	0	0.4190938	1.717103	0	0	0	0	0	16.09458
ENSG00000107185	0.05903182	0.1610798	0	0	30.30896	0	0	0	0	0.4430711
ENSG00000130349	5.791318	0	0	22.23772	1.387437	0.04982743	0	0	0	0
ENSG00000155792	0.05269388	1.558437	0	3.960142	0	0	0	20.39389	0	0
ENSG00000100577	6.392536	32.45443	0	0	0.2919689	0	0	17.19635	6.992881	3.393115
ENSG00000116062	1.266266	66.5577	0	0.1010763	0	0	0	0.2392623	0	2.973773
ENSG00000115159	0	0	0.1685551	22.71227	0	0	0.3363788	0	0	0
ENSG00000088766	13.06818	23.64438	11.58599	4.439113	4.610753	0	73.92113	8.073517	0	3.854482
ENSG00000185269	0	0	0	0	0.3184095	4.35018	21.49528	0	0	5.718341
ENSG00000163481	0	0	0	0	46.67264	0	0	0	0	0.11172
ENSG00000145868	0	0.3474689	50.67447	0	1.882133	1.23087	0	0	0	0.1078371
ENSG00000070669	3.152872	0	3.303161	2.917434	0	0	0.7464618	0	24.43076	0
ENSG00000198899	12.30952	2.044331	0	0	0	0	14.74082	2.494064	0.122352	0
ENSG00000178585	0	0	0.1449138	0	0	0	0.1396478	0.08112302	35.81121	0
ENSG00000132275	0.8477219	0.280225	0.6771089	0	0	0	2.175925	0.8820156	12.21428	9.605449
ENSG00000186063	1.597215	0	0	0	0.2386378	2.665025	0	30.91166	0	0
ENSG00000180376	0.8197946	0	0	0.2099767	0	0.04757386	0	0	0	0
ENSG00000074356	0	0	2.5847	0	1.177008	0	0.6274334	0.0416525	10.23162	0
ENSG00000185264	0	0	0	0.9333527	0	0	8.791888	0	0.7870534	0.0874471
ENSG00000212864	0	0.2337767	0	0	6.6996	0.2632757	0	0	0	0
ENSG00000136982	7.710224	0	0.06444461	0	0	8.818754	1.085602	2.316507	22.36735	1.955724
ENSG00000141371	0	34.18383	0	0	0	0.8981693	0.6068901	0	0	0
ENSG00000113391	1.292993	0	0.1246504	0	0	4.05916	0	0	0.08885592	0
ENSG00000152078	0	0	8.611736	0.731515	0.7931252	0	0	0	0	0.8333631
ENSG00000163331	0	6.200582	0	0	0	0	0	0.4699952	0	0.2700914
ENSG00000135476	0.6340798	0.1998364	10.04785	0.3216541	0	0.1440094	0	2.43505	0	1.85354
ENSG00000011143	5.648952	0.1752555	0.09520425	0.1083143	0	0	0.07039312	0.1781389	0	17.09099
ENSG00000152904	4.247636	37.28801	0	0	0	0.6441308	1.115513	6.437837	0	0
ENSG00000164035	0	0.290153	0	0.07973607	4.912965	0.3418226	1.387106	0	0.05372189	0.3744129
ENSG00000158864	38.59986	1.092419	2.49873	0	3.053211	0.1576075	0	1.9008	2.557322	0.3481493
ENSG00000166710	0	5.521095	0.1185877	0	0	15.14924	0	0	0	7.220137
ENSG00000164066	0	0	0	0	0	5.953953	0.04335059	7.373844	0	8.62513
ENSG00000152049	0.05520451	0.0470276	0	0.1727694	0.1377144	5.444883	14.65495	0	17.10125	12.52537
ENSG00000125875	0.3989057	0	0.05434917	0.2166579	13.84356	8.945449	0.605512	0	5.424598	0
ENSG00000164932	0	0.05155592	3.656099	21.65044	0	5.268819	1.927594	0	0	6.715202
ENSG00000083099	5.068382	4854.961	1.073314	0	0	0	0	3.041743	3.873943	10.22526
ENSG00000084110	0	0	0	25.75408	1.10034	0	0	0	0	11.31893
ENSG00000125319	5.79077	0	0	0.1087176	0	0	0	0.9994521	0.6676002	0
ENSG00000161526	0	0	2.763361	1.582694	0	0	0	0	0.2201517	7.915118
ENSG00000171735	0.4830033	1.407399	0	0	0	1.532979	4.857344	0	1.41481	16.88807
ENSG00000107262	0.5643471	0	0.1255759	34.90757	13.18122	0	2.767301	0	0.4325225	2.031522
ENSG00000125531	0	0	0	0	4.285612	0	0	0	0	0.3819186
ENSG00000112996	0	15.09719	15.36757	0	0.1100982	5.487536	0.06611109	0	3.978313	11.16964
ENSG00000155085	2.876571	0.1022363	0	5.71471	0	0	21.8208	0.8123591	0	0.06841124
ENSG00000198715	30.55836	15.58132	0.103165	0.0521331	0	0	0.2062322	0.1304453	0.2955456	31.4081
ENSG00000163882	0.426831	0	116.4241	99.28942	0	0	70.83293	0	0.224441	1.114516
ENSG00000198860	0	8.463706	0	0.1559735	0.1310004	0.1161094	0.1246504	0	0	0.1131361
ENSG00000187546	112.0493	0.828893	0	11.73525	1.399177	0	0.2091631	0	1.205368	0
ENSG00000117154	0	9.860514	0.2114575	0	0.4897818	0	15.37169	0	21.59213	0
ENSG00000204120	0	0	0	6.112002	7.054326	1.979352	0.1132629	0.3047836	9.006543	332.286
ENSG00000184857	0	0.9700964	0.2531295	0.6079784	0.1544764	0.3646463	0	0.08030718	298.4935	6.954176
ENSG00000138207	0.1182776	0	7.289775	0.419172	0.7408828	0	0	0	0	0
ENSG00000151881	0	2.927295	0	80.12165	5.485987	17.90747	0.4454933	1.905543	0	0
ENSG00000205356	9.230502	0	6.269798	0.7469831	2.82865	0	0	0.1496007	0.4551833	0
ENSG00000105679	0	0.2858891	61.63335	0	26.9689	8.261264	0	0.125011	1.34135	2.047872
ENSG00000132383	0	3.716596	0	1.94545	0	0	0.5580198	0	0	0.05330928
ENSG00000166896	0	3.462324	0	25.88563	0.6585191	0	0.676066	1.625262	0	6.272182
ENSG00000111845	4.686175	2.722171	0.1418549	0.8024427	0.8754327	0.1616907	0.2133102	0	0	1.789504
ENSG00000007944	0.5937716	2.594787	0	3.570886	0	0	0	0	0	2.171365
ENSG00000164972	1.908214	0	3.030124	0	0	46.0588	0	0	0	0
ENSG00000135698	2.060247	2.155532	0	0	7.727601	2.361398	0	3.810118	1.094241	3.914007
ENSG00000185716	0	0	0	5.605547	0	0	0	27.07642	0	0
ENSG00000161091	0	0	1.119584	0.115889	0.9351303	0.08379187	0.0714344	1.027887	0	0.6959286
ENSG00000134453	0.09783298	0	0	0.05104943	0	0	0	0.5498483	5.38101	23.96738
ENSG00000004455	31.9734	0	0.8859855	0.3129214	0	0	0.1152265	1.358861	0	0
ENSG00000167632	0	0	42.82168	4.582548	0.295874	0	44.42798	0.4402224	0.4217386	0
ENSG00000151466	0.6201191	1.046068	0.1078371	0	4.244934	1.03267	4.494314	2.349696	0	10.56184
ENSG00000185950	0	0.3606046	0	198.5836	1.603681	0	2.481134	6.434259	2.179678	0
ENSG00000172053	0	0	0	0.1349042	0	0	0.07083421	0	7.621654	0
ENSG00000158079	0	0	0	17.15214	0	0.09272907	0.04913895	3.077593	0	0
