human	chicken
ENSG00000051596	ENSGALG00000024172
ENSG00000172172	ENSGALG00000016405
ENSG00000100218	ENSGALG00000006712
ENSG00000186479	ENSGALG00000027389
ENSG00000107185	ENSGALG00000002394
ENSG00000130349	ENSGALG00000015316
ENSG00000155792	ENSGALG00000016413
ENSG00000100577	ENSGALG00000010432
ENSG00000116062	ENSGALG00000008957
ENSG00000115159	ENSGALG00000012543
ENSG00000088766	ENSGALG00000009214
ENSG00000185269	ENSGALG00000002900
ENSG00000163481	ENSGALG00000011375
ENSG00000145868	ENSGALG00000000546
ENSG00000070669	ENSGALG00000009748
ENSG00000178585	ENSGALG00000026306
ENSG00000198899	ENSGALG00000018368
ENSG00000132275	ENSGALG00000028679
ENSG00000186063	ENSGALG00000009426
ENSG00000180376	ENSGALG00000005450
ENSG00000074356	ENSGALG00000002653
ENSG00000185264	ENSGALG00000012490
ENSG00000212864	ENSGALG00000008911
ENSG00000136982	ENSGALG00000016417
ENSG00000141371	ENSGALG00000021822
ENSG00000113391	ENSGALG00000014661
ENSG00000152078	ENSGALG00000005580
ENSG00000163331	ENSGALG00000012564
ENSG00000135476	ENSGALG00000009956
ENSG00000152904	ENSGALG00000002604
ENSG00000011143	ENSGALG00000000706
ENSG00000164035	ENSGALG00000012278
ENSG00000158864	ENSGALG00000027607
ENSG00000166710	ENSGALG00000002160
ENSG00000164066	ENSGALG00000010170
ENSG00000152049	ENSGALG00000021057
ENSG00000252906	ENSGALG00000025585
ENSG00000125875	ENSGALG00000006201
ENSG00000164932	ENSGALG00000016071
ENSG00000083099	ENSGALG00000015762
ENSG00000084110	ENSGALG00000011421
ENSG00000125319	ENSGALG00000026223
ENSG00000161526	ENSGALG00000002415
ENSG00000107262	ENSGALG00000013157
ENSG00000125531	ENSGALG00000021049
ENSG00000112996	ENSGALG00000014874
ENSG00000155085	ENSGALG00000015224
ENSG00000198715	ENSGALG00000028969
ENSG00000163882	ENSGALG00000008534
ENSG00000198860	ENSGALG00000004782
ENSG00000187546	ENSGALG00000010792
ENSG00000117154	ENSGALG00000000426
ENSG00000184857	ENSGALG00000027191
ENSG00000138207	ENSGALG00000006629
ENSG00000151881	ENSGALG00000014863
ENSG00000205356	ENSGALG00000003507
ENSG00000132383	ENSGALG00000003072
ENSG00000166896	ENSGALG00000009747
ENSG00000111845	ENSGALG00000012724
ENSG00000007944	ENSGALG00000012704
ENSG00000164972	ENSGALG00000005818
ENSG00000135698	ENSGALG00000005477
ENSG00000185716	ENSGALG00000006933
ENSG00000161091	ENSGALG00000000795
ENSG00000134453	ENSGALG00000006332
ENSG00000004455	ENSGALG00000003597
ENSG00000167632	ENSGALG00000016190
ENSG00000172053	ENSGALG00000006853
ENSG00000158079	ENSGALG00000005128
ENSG00000134443	ENSGALG00000028564
ENSG00000170619	ENSGALG00000008867
ENSG00000131368	ENSGALG00000008506
ENSG00000184677	ENSGALG00000004781
ENSG00000204954	ENSGALG00000027808
ENSG00000146918	ENSGALG00000006525
ENSG00000066279	ENSGALG00000002338
ENSG00000117697	ENSGALG00000009814
ENSG00000196236	ENSGALG00000012003
ENSG00000155304	ENSGALG00000019201
ENSG00000091527	ENSGALG00000011713
ENSG00000198805	ENSGALG00000002351
ENSG00000093072	ENSGALG00000013031
ENSG00000005955	ENSGALG00000005397
ENSG00000147168	ENSGALG00000005638
ENSG00000165102	ENSGALG00000010136
ENSG00000093009	ENSGALG00000001616
ENSG00000145604	ENSGALG00000003547
ENSG00000174628	ENSGALG00000028197
ENSG00000005194	ENSGALG00000001194
ENSG00000155906	ENSGALG00000012968
ENSG00000143633	ENSGALG00000020009
ENSG00000171136	ENSGALG00000015028
ENSG00000089154	ENSGALG00000007276
ENSG00000139291	ENSGALG00000027799
ENSG00000136732	ENSGALG00000011566
ENSG00000241973	ENSGALG00000001386
ENSG00000117475	ENSGALG00000015225
ENSG00000151838	ENSGALG00000028666
ENSG00000165807	ENSGALG00000023014
ENSG00000181830	ENSGALG00000008438
ENSG00000108256	ENSGALG00000004042
ENSG00000174227	ENSGALG00000015349
ENSG00000114107	ENSGALG00000012087
ENSG00000130177	ENSGALG00000016816
ENSG00000221366	ENSGALG00000025271
ENSG00000014123	ENSGALG00000015580
ENSG00000187145	ENSGALG00000000456
ENSG00000130255	ENSGALG00000000474
ENSG00000199411	ENSGALG00000025654
ENSG00000121022	ENSGALG00000014512
ENSG00000156042	ENSGALG00000002551
ENSG00000167721	ENSGALG00000003180
ENSG00000212443	ENSGALG00000024964
ENSG00000105640	ENSGALG00000009829
ENSG00000174948	ENSGALG00000010337
ENSG00000135297	ENSGALG00000015923
ENSG00000184992	ENSGALG00000002913
ENSG00000104164	ENSGALG00000005736
ENSG00000143951	ENSGALG00000008866
ENSG00000139684	ENSGALG00000016991
ENSG00000184203	ENSGALG00000007005
ENSG00000188895	ENSGALG00000013507
ENSG00000153086	ENSGALG00000012197
ENSG00000159322	ENSGALG00000001788
ENSG00000129518	ENSGALG00000010007
ENSG00000140400	ENSGALG00000001615
ENSG00000004838	ENSGALG00000002114
ENSG00000135185	ENSGALG00000006633
ENSG00000166920	ENSGALG00000028580
ENSG00000241468	ENSGALG00000004439
ENSG00000141933	ENSGALG00000026780
ENSG00000151500	ENSGALG00000001529
ENSG00000150459	ENSGALG00000017129
ENSG00000105486	ENSGALG00000013384
ENSG00000148926	ENSGALG00000005666
ENSG00000124596	ENSGALG00000003228
ENSG00000146733	ENSGALG00000002397
ENSG00000182271	ENSGALG00000004262
ENSG00000119280	ENSGALG00000026600
ENSG00000101161	ENSGALG00000006001
ENSG00000163444	ENSGALG00000000223
ENSG00000100319	ENSGALG00000008070
