GeneID	Brain_Female	Brain_Male	Cerebellum_Female	Cerebellum_Male	Heart_Female	Heart_Male	Kidney_Female	Kidney_Male	Liver_Male	Testis_Male
ENSGALG00000008372	6.727397	25.90795	0.4094564	0.7507536	0.00231282	2.825252	9.234714	0.1403928	0.00231282	7.477263
ENSGALG00000003596	6.970286	7.052328	5.398373	3.242483	5.149082	0.237805	1.123212	11.68198	11.17865	0.5913639
ENSGALG00000011403	7.038853	15.11053	0.00231282	0.783856	1.897769	0.00231282	90.29148	0.00231282	4.516765	0.2433053
ENSGALG00000001312	2.505496	0.00231282	2.135149	1.236643	13.92877	8.589029	25.71959	10.57566	0.03160069	14.56467
ENSGALG00000006384	4.816153	0.3179832	1.07461	0.400345	10.38286	0.00231282	14.11498	4.965697	1.713457	57.52399
ENSGALG00000023937	5.606581	0.00231282	8.00911	322.6313	5.541095	37.70189	5.286956	1.39473	1.743135	8.315604
ENSGALG00000008587	21.60445	1.083658	4.676206	5.660125	3.448104	0.00231282	22.99548	1.610403	4.880574	36.9806
ENSGALG00000017027	17.94763	9.252739	37.90079	0.00231282	69.2481	3.427812	2.999523	14.41838	0.6365104	0.06909569
ENSGALG00000008750	0.2023249	30.50126	0.04220798	0.7951525	27.52112	4.445247	18.21761	6.451749	0.6976161	27.29786
ENSGALG00000017627	172.4825	0.00231282	1.792064	0.00231282	4.509877	14.60333	0.00231282	5.348159	1.223018	10.71398
ENSGALG00000016611	0.5651705	3.11204	0.04243144	25.89248	9.106083	91.23076	0.04036022	0.00231282	0.5092155	0.6951224
ENSGALG00000003165	166.568	11.78172	5.740765	17867.89	0.00231282	0.00231282	3.727649	0.1459055	7.759031	0.00231282
ENSGALG00000012098	65.94646	0.00231282	3.490479	24.7293	7.387743	0.00231282	6.23859	6.779049	16.7705	0.00231282
ENSGALG00000023653	0.00231282	4.423446	0.00231282	7.335808	11.47228	2.389488	0.1783363	12.90651	33.96131	0.00231282
ENSGALG00000004829	0.07112181	1.231133	2.549535	57.09838	3.158898	0.00231282	0.00231282	1.136618	4.503769	3.072201
ENSGALG00000010674	0.00231282	3.721001	0.522514	2.112876	2.658736	0.00231282	0.1051317	0.00231282	2.397906	27.68685
ENSGALG00000024040	0.1656013	19.46737	7.354842	14.98368	0.08689181	2.869053	2.489439	0.1861353	0.03100329	10.691
ENSGALG00000010277	0.3118791	55.98701	3.263787	6.011313	4.279963	17.27718	0.2159695	1.192396	0.00231282	0.00231282
ENSGALG00000012236	3.718794	6.892158	0.8005214	0.9055793	49.95006	20.87956	0.00231282	0.00231282	0.1160083	0.06106739
ENSGALG00000015902	3.633773	0.3204265	5.708236	0.03267304	28.1902	0.00231282	13.19949	12.68901	586.8541	10.27124
ENSGALG00000010561	3.69669	6.642892	18.95576	48.61355	0.00231282	14.31135	2.046773	0.4706348	49.45668	0.00231282
ENSGALG00000006524	0.00231282	1.160276	66.96802	152.1171	16.59828	0.1948643	59.7409	0.03362112	0.00231282	1.238691
ENSGALG00000021416	3.487307	0.00231282	10.53737	0.00231282	8.885336	0.07593589	0.03262984	0.800844	9.839636	0.00231282
ENSGALG00000015108	0.6984886	0.1554829	0.2305162	0.1399843	10.85202	0.03505099	214.8971	0.293336	0.00231282	0.00231282
ENSGALG00000017291	9.421522	208.8087	7.057513	1.660592	0.7812065	180.3776	9.604471	0.00231282	0.00231282	0.237531
ENSGALG00000005736	0.00231282	0.00231282	0.3361659	11.35784	1.076621	0.04103277	8.427417	14158.15	40.49806	11.61634
ENSGALG00000006561	0.07942784	10.73898	6.136468	9.719024	0.00231282	0.00231282	87.58615	0.00231282	1.680012	9.814568
ENSGALG00000020741	1.865973	5.294402	19.92847	9.85146	11.69224	0.0512401	1.489126	11.2718	0.00231282	0.1472978
ENSGALG00000002527	0.1201744	4.397786	1.885255	5.663546	33.63525	0.1077724	130.1738	3.717557	6.56818	0.00231282
